city,horizon_day,MAE,RMSE,MAPE,WAPE,direction_accuracy
Москва,14,4.796958,6.0799284,115.408615,39.6526,0.5148809523809523
Москва,15,4.6300855,5.924264,145.13724,38.319748,0.4851190476190476
Москва,16,4.5930533,5.8572626,151.49712,37.9581,0.5476190476190477
Москва,17,4.4692755,5.728956,110.73218,36.983036,0.46726190476190477
Москва,18,4.835333,6.0807943,130.49042,39.961544,0.49404761904761907
Москва,19,4.880661,6.2382874,145.63123,40.278446,0.48214285714285715
Москва,20,4.641348,5.947997,142.95973,38.27324,0.5416666666666666
Москва,21,4.525645,5.842823,114.94193,37.284096,0.5297619047619048
Москва,22,4.747828,6.1130886,165.15077,39.07154,0.5238095238095238
Москва,23,4.721244,6.0905285,105.23031,38.788284,0.5178571428571429
Москва,24,5.010763,6.291771,155.62248,41.138264,0.4642857142857143
Москва,25,4.842198,6.1684732,135.71103,39.97571,0.4642857142857143
Москва,26,4.8569045,6.232278,163.06264,40.140892,0.49702380952380953
Москва,27,4.5705023,5.8406754,115.69318,37.767784,0.5178571428571429
Москва,28,4.4876432,5.7917185,115.268814,37.024925,0.48214285714285715
Москва,29,4.5545626,5.9223876,135.5815,37.38114,0.5476190476190477
Москва,30,4.772241,6.172197,179.11395,39.039658,0.47619047619047616
Находка,1,4.4929633,6.068485,118.12484,36.050568,
Находка,2,4.471032,6.076432,126.38464,35.838573,0.48214285714285715
Находка,3,4.4127283,6.0435443,111.6575,35.37344,0.5059523809523809
Находка,4,4.361379,6.0271745,101.32787,35.017582,0.5
Находка,5,4.1710596,5.7027493,97.377174,33.7011,0.4880952380952381
Находка,6,4.363492,5.913111,128.80934,35.329502,0.4880952380952381
Находка,7,4.275762,5.762947,104.91002,34.64705,0.5297619047619048
Находка,8,4.197023,5.7318983,111.83709,34.0015,0.47023809523809523
Находка,9,4.343235,5.927122,120.37921,35.14096,0.46130952380952384
Находка,10,4.204638,5.796112,100.215294,34.126137,0.5297619047619048
Находка,11,4.2906027,5.7891016,118.70656,34.863262,0.5089285714285714
Находка,12,4.204297,5.7298584,94.85515,34.177685,0.5297619047619048
Находка,13,4.168287,5.6693826,103.25349,33.91504,0.47023809523809523
Находка,14,4.218649,5.6846805,111.72348,34.452484,0.5059523809523809
Находка,15,4.1716776,5.674427,105.503845,34.04423,0.47619047619047616
Находка,16,4.0824485,5.692184,81.76764,33.29634,0.49107142857142855
Находка,17,4.20553,5.83527,89.79262,34.100975,0.49107142857142855
Находка,18,4.2387137,5.82086,108.05887,34.392387,0.5059523809523809
Находка,19,4.3193927,5.8559904,106.52551,34.916843,0.5148809523809523
Находка,20,4.3221793,5.9348106,113.826096,34.902805,0.4851190476190476
Находка,21,4.2545085,5.831232,83.79574,34.340145,0.5208333333333334
Находка,22,4.304166,5.951525,86.89421,34.731567,0.47023809523809523
Находка,23,4.221272,5.8001637,92.305336,34.216614,0.49702380952380953
Находка,24,4.4478126,5.8956256,104.52353,36.235706,0.5119047619047619
Находка,25,4.233376,5.7331133,84.948906,34.33198,0.5089285714285714
Находка,26,4.3249197,5.9264827,90.62703,35.133957,0.47619047619047616
Находка,27,4.2036076,5.747696,83.30943,34.21944,0.5208333333333334
Находка,28,4.1720343,5.705876,87.75382,33.97021,0.4791666666666667
Находка,29,4.165996,5.680349,84.55725,33.92426,0.5476190476190477
Находка,30,4.2500525,5.7732244,78.15365,34.61409,0.5386904761904762
Санкт-Петербург,1,4.530953,6.1396146,108.617,37.613297,
Санкт-Петербург,2,4.735076,6.3735375,117.289055,39.105,0.5119047619047619
Санкт-Петербург,3,4.585148,6.2718043,105.57817,37.95344,0.4642857142857143
Санкт-Петербург,4,4.753661,6.413942,110.88549,39.375343,0.5089285714285714
Санкт-Петербург,5,4.9134946,6.4922605,114.23957,40.76753,0.5238095238095238
Санкт-Петербург,6,4.618242,6.240605,112.95972,38.36976,0.4642857142857143
Санкт-Петербург,7,4.7219386,6.3463564,115.105774,39.298634,0.5327380952380952
Санкт-Петербург,8,4.6415205,6.414491,99.14664,38.498074,0.49107142857142855
Санкт-Петербург,9,4.6306667,6.309835,112.55801,38.566086,0.5
Санкт-Петербург,10,4.772657,6.3825235,121.789154,39.77653,0.5029761904761905
Санкт-Петербург,11,4.812375,6.4704638,125.30643,40.095573,0.49702380952380953
Санкт-Петербург,12,5.4516664,6.987023,122.165764,45.331974,0.5208333333333334
Санкт-Петербург,13,4.585874,6.427835,98.5521,37.918198,0.5089285714285714
Санкт-Петербург,14,4.57092,6.3021035,90.87219,37.843323,0.47619047619047616
Санкт-Петербург,15,4.533779,6.267809,95.15611,37.54466,0.5357142857142857
Санкт-Петербург,16,4.664788,6.4951096,93.24596,38.42295,0.5
Санкт-Петербург,17,4.581443,6.3988895,99.626175,37.883804,0.5446428571428571
Санкт-Петербург,18,4.5721645,6.299156,91.5097,37.812634,0.4642857142857143
Санкт-Петербург,19,4.5865073,6.3765635,90.78005,37.93876,0.5178571428571429
Санкт-Петербург,20,4.515116,6.3367405,87.553116,37.13756,0.5
Санкт-Петербург,21,4.925416,6.6180964,102.04953,40.446995,0.46130952380952384
Санкт-Петербург,22,4.7364187,6.499348,91.32919,38.86295,0.5059523809523809
Санкт-Петербург,23,4.793357,6.5450087,98.34005,39.368195,0.47619047619047616
Санкт-Петербург,24,4.5986,6.475159,83.772606,37.76837,0.4880952380952381
