city,ADF p-value raw,ADF p-value diff1,raw_stationary_5pct,diff1_stationary_5pct
Благовещенск,0.1533200296720475,0.0,False,True
Геленджик,0.13136951836338334,0.0,False,True
Москва,0.039318749865032025,5.003515816012385e-24,True,True
Находка,0.08344543056544806,1.2062701356347598e-29,False,True
Санкт-Петербург,0.08903757579555366,9.64044792866387e-25,False,True
Сочи,0.059063570926399224,1.0736917105062088e-20,False,True
